Word presentation timestamps:
Fixation onset timestamp: 2023-03-31 10:13:14.420616
2023-03-31 10:13:19.496440 The
2023-03-31 10:13:21.030161 men
2023-03-31 10:13:22.548213 entered
2023-03-31 10:13:24.063577 the
2023-03-31 10:13:25.579736 Post
2023-03-31 10:13:27.096764 Office
2023-03-31 10:13:28.614502 in
2023-03-31 10:13:30.130082 Quarrywood
2023-03-31 10:13:31.698732 Avenue,
2023-03-31 10:13:33.228412 in
2023-03-31 10:13:34.761718 the
2023-03-31 10:13:36.294831 Barmulloch
2023-03-31 10:13:37.828311 area,
2023-03-31 10:13:39.362034 at
2023-03-31 10:13:40.895030 07:55
2023-03-31 10:13:42.427655 on
2023-03-31 10:13:43.961402 Friday.
2023-03-31 10:13:45.495547 They
2023-03-31 10:13:47.031809 threatened
2023-03-31 10:13:48.546136 a
2023-03-31 10:13:50.065258 member
2023-03-31 10:13:51.579803 of
2023-03-31 10:13:53.095860 staff
2023-03-31 10:13:54.613047 with
2023-03-31 10:13:56.181934 a
2023-03-31 10:13:57.711581 knife
2023-03-31 10:13:59.245159 and
2023-03-31 10:14:00.777751 demanded
2023-03-31 10:14:02.311214 money
2023-03-31 10:14:03.844447 before
2023-03-31 10:14:05.377953 escaping
2023-03-31 10:14:06.911258 with
2023-03-31 10:14:08.444377 the
2023-03-31 10:14:09.997387 cash.
2023-03-31 10:14:11.513526 The
2023-03-31 10:14:13.029290 27-year-old
2023-03-31 10:14:14.545500 worker
2023-03-31 10:14:16.062580 was
2023-03-31 10:14:17.579010 said
2023-03-31 10:14:19.098183 by
2023-03-31 10:14:20.613568 police
2023-03-31 10:14:22.130437 to
2023-03-31 10:14:23.645695 have
2023-03-31 10:14:25.163362 been
2023-03-31 10:14:26.710726 badly
2023-03-31 10:14:28.244085 shaken
2023-03-31 10:14:29.777552 but
2023-03-31 10:14:31.311240 otherwise
2023-03-31 10:14:32.844162 unharmed
2023-03-31 10:14:34.376964 by
2023-03-31 10:14:35.910660 the
2023-03-31 10:14:37.443810 ordeal.
2023-03-31 10:14:38.977261 Both
2023-03-31 10:14:40.510699 suspects
2023-03-31 10:14:42.062867 are
2023-03-31 10:14:43.578725 white,
2023-03-31 10:14:45.097833 and
2023-03-31 10:14:46.612036 one
2023-03-31 10:14:48.128670 of
2023-03-31 10:14:49.646359 them
2023-03-31 10:14:51.162617 was
2023-03-31 10:14:52.730926 about
2023-03-31 10:14:54.280656 35-40
2023-03-31 10:14:55.810418 years
2023-03-31 10:14:57.343938 old
2023-03-31 10:14:58.876960 with
2023-03-31 10:15:00.410237 short
2023-03-31 10:15:01.943897 brown
